#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1722444297 1647602832 1313745310 24947811 416455121 329940868 377108413 1695975 101751 115625.98 124491.83 12546.83 4471.61
1722444307 1647603158 1313745352 24947811 416455121 329940973 377108419 1695975 101751 115625.34 124485.88 12548.24 4477.55
1722444317 1647603158 1313745352 24947811 416455121 329941232 377108420 1695975 101751 115626.02 124486.16 12546.51 4477.28
1722444327 1647603158 1313745352 24947811 416455121 329941323 377108424 1695975 101751 115631.30 124472.74 12541.16 4490.67
1722444338 1647603250 1313745356 24947811 416455121 329941408 377108425 1695975 101751 115630.15 124472.37 12542.77 4491.07
1722444348 1647603460 1313745380 24947811 416455121 329941500 377108429 1695975 101751 115628.14 124474.42 12545.34 4489.02
1722444358 1647603460 1313745380 24947811 416455121 329941585 377108429 1695975 101751 115627.30 124473.97 12545.07 4489.46
1722444369 1647603636 1313745396 24947811 416455121 329941671 377108430 1695975 101751 115625.04 124473.59 12547.45 4489.84
1722444379 1647603786 1313745412 24947811 416455121 329941757 377108438 1695975 101751 115631.16 124467.30 12542.29 4496.14
1722444390 1647603786 1313745412 24947811 416455121 329941844 377108438 1695975 101751 115628.83 124469.11 12544.71 4494.32
1722444400 1647604098 1313745438 24947811 416455121 329941930 377108440 1695975 101751 115629.75 124467.47 12542.25 4495.96
1722444411 1647604126 1313745438 24947811 416455121 329942016 377108442 1695975 101751 115630.63 124466.02 12542.87 4497.42
1722444421 1647604126 1313745438 24947811 416455121 329942101 377108443 1695975 101751 115632.70 124465.80 12540.34 4497.64
1722444431 1647604126 1313745438 24947811 416455121 329942185 377108446 1695975 101751 115630.66 124459.05 12541.63 4504.38
1722444442 1647604410 1313745452 24947811 416455121 329942275 377108447 1695975 101751 115607.86 124457.73 12565.64 4505.70
1722444452 1647604410 1313745452 24947811 416455121 329942364 377108447 1695975 101751 115588.38 124457.52 12584.68 4505.92
1722444463 1647604806 1313745502 24947811 416455121 329942449 377108449 1695975 101751 115590.89 124457.12 12581.66 4506.32
1722444473 1647604806 1313745502 24947811 416455121 329942536 377108449 1695975 101751 115590.75 124456.95 12581.74 4506.49
1722444483 1647604806 1313745502 24947811 416455121 329942620 377108449 1695975 101751 115590.08 124456.73 12582.63 4506.70
1722444494 1647605114 1313745538 24947811 416455121 329942705 377108451 1695975 101751 115591.82 124454.79 12580.61 4508.64
1722444504 1647605114 1313745538 24947811 416455121 329942790 377108452 1695975 101751 115591.96 124454.41 12582.05 4509.03
1722444515 1647605241 1313745538 24947811 416455121 329942875 377108452 1695975 101751 115592.54 124454.21 12579.89 4509.23
1722444525 1647605365 1313745538 24947811 416455121 329942963 377108453 1695975 101751 115589.50 124456.05 12583.52 4507.39
1722444536 1647605365 1313745538 24947811 416455121 329943053 377108454 1695975 101751 115586.64 124459.37 12585.85 4504.07
1722444547 1647605429 1313745538 24947811 416455121 329943138 377108454 1695975 101751 115585.53 124458.68 12586.59 4504.75
1722444557 1647605625 1313745538 24947811 416455121 329943224 377108455 1695975 101751 115586.85 124457.69 12584.90 4505.72
1722444568 1647605625 1313745538 24947811 416455121 329943309 377108456 1695975 101751 115585.91 124457.42 12587.13 4506.02
1722444579 1647605625 1313745538 24947811 416455121 329943395 377108456 1695975 101751 115585.71 124457.09 12587.19 4506.35
1722444589 1647605896 1313745548 24947811 416455121 329943481 377108457 1695975 101751 115584.52 124457.01 12587.58 4506.43
1722444600 1647605896 1313745548 24947811 416455121 329943567 377108462 1695975 101751 115588.00 124438.80 12585.09 4524.64
1722444610 1647605896 1313745548 24947811 416455121 329943653 377108462 1695975 101751 115589.64 124438.62 12583.03 4524.82
1722444621 1647605896 1313745548 24947811 416455121 329943738 377108462 1695975 101751 115589.70 124438.61 12583.50 4524.82
1722444631 1647606171 1313745562 24947811 416455121 329943826 377108463 1695975 101752 115588.21 124439.18 12584.34 4524.26
1722444641 1647606171 1313745562 24947811 416455121 329943911 377108463 1695975 101752 115588.73 124439.05 12584.33 4524.39
1722444652 1647606171 1313745562 24947811 416455121 329943996 377108464 1695975 101752 115588.89 124438.78 12583.51 4524.66
1722444662 1647606456 1313745570 24947811 416455121 329944082 377108467 1695975 101752 115592.05 124435.68 12581.17 4527.76
1722444672 1647606456 1313745570 24947811 416455121 329944167 377108467 1695975 101752 115591.12 124435.38 12581.82 4528.06
1722444683 1647606456 1313745570 24947811 416455121 329944252 377108468 1695975 101752 115591.98 124435.14 12580.23 4528.29
1722444693 1647606456 1313745570 24947811 416455121 329944338 377108468 1695975 101752 115592.10 124434.84 12580.91 4528.59
1722444703 1647606675 1313745570 24947811 416455121 329944425 377108469 1695975 101752 115590.34 124434.88 12582.62 4528.56
1722444714 1647606675 1313745570 24947811 416455121 329944511 377108470 1695975 101752 115590.97 124434.74 12581.50 4528.70
1722444724 1647606675 1313745570 24947811 416455121 329944596 377108470 1695975 101752 115591.55 124434.44 12581.44 4529.00
1722444735 1647608211 1313747106 24947811 416455121 329945650 377108489 1695975 101752 115326.92 124943.31 12846.66 4020.12
1722444745 1647609747 1313748642 24947811 416455121 329946241 377108489 1695975 101752 115588.04 124943.50 12587.08 4019.94
1722444755 1647610642 1313749206 24947811 416455121 329946626 377108541 1695976 101752 115238.46 124834.08 12933.88 4129.85
1722444766 1647611050 1313749554 24947811 416455121 329946814 377108648 1695976 101752 115133.98 124731.38 13038.07 4233.06
1722444776 1647611453 1313749902 24947811 416455121 329947007 377108762 1695976 101752 115029.51 124615.56 13143.69 4347.88
1722444786 1647611610 1313750020 24947811 416455121 329947203 377108875 1695976 101752 114918.83 124499.08 13254.74 4464.36
1722444796 1647611772 1313750142 24947811 416455121 329947397 377108994 1695976 101752 114808.22 124382.58 13364.79 4580.86
1722444807 1647611949 1313750276 24947811 416455121 329947594 377109106 1695976 101752 114690.25 124263.04 13482.06 4700.40
1722444817 1647611986 1313750282 24947811 416455121 329947797 377109220 1695976 101752 114569.51 124147.48 13603.55 4815.96
1722444828 1647612149 1313750408 24947811 416455121 329948001 377109339 1695976 101752 114453.90 124029.77 13718.90 4933.67
1722444838 1647612181 1313750408 24947811 416455121 329948205 377109456 1695976 101752 114331.81 123911.81 13840.79 5051.85
1722444848 1647612370 1313750550 24947811 416455121 329948416 377109572 1695976 101752 114205.28 123795.84 13967.73 5167.89
1722444859 1647612430 1313750550 24947811 416455121 329948626 377109696 1695976 101752 114078.07 123668.98 14094.47 5294.45
1722444869 1647612430 1313750550 24947811 416455121 329948832 377109816 1695976 101752 113956.37 123547.95 14216.58 5415.49
1722444879 1647612643 1313750684 24947811 416455121 329949040 377109939 1695976 101752 113831.95 123423.91 14342.12 5539.53
1722444890 1647612722 1313750684 24947811 416455121 329949259 377110065 1695976 101752 113693.02 123293.86 14480.17 5669.58
1722444900 1647612863 1313750744 24947811 416455121 329949478 377110197 1695976 101752 113558.36 123158.09 14614.49 5805.73
1722444910 1647613008 1313750860 24947811 416455121 329949881 377110332 1695976 101752 113416.88 123019.08 14756.13 5944.46
1722444921 1647613090 1313750860 24947811 416455121 329950117 377110469 1695976 101752 113270.16 122878.45 14902.47 6084.99
1722444931 1647613437 1313751068 24947811 416455121 329950349 377110630 1695976 101752 113117.11 122570.61 15056.09 6392.83
1722444941 1647613583 1313751104 24947811 416455121 329950448 377110630 1695976 101752 113103.43 122572.20 15068.36 6391.24
1722444952 1647613966 1313751394 24947811 416455121 329950565 377110634 1695976 101752 113072.98 122576.20 15100.07 6387.23
1722444962 1647614316 1313751698 24947811 416455121 329950665 377110652 1695976 101752 113064.84 122547.71 15106.91 6415.73
1722444972 1647617205 1313753678 24947811 416455121 329951064 377111580 1695976 101752 113883.39 123259.84 14289.86 5703.60
1722444983 1647617711 1313753742 24947811 416455121 329951362 377111580 1695976 101752 113695.28 123265.16 14477.44 5698.28
1722444993 1647617711 1313753742 24947811 416455121 329951446 377111580 1695976 101752 113694.82 123265.02 14477.90 5698.42
1722445004 1647618735 1313754766 24947811 416455121 329953160 377111580 1695976 101752 109055.25 123265.12 19118.36 5698.31
1722445014 1647619247 1313755278 24947811 416455121 329953244 377111580 1695976 101752 109055.94 123265.23 19116.67 5698.20
1722445024 1647620271 1313756302 24947811 416455121 329955207 377111580 1695976 101752 103965.48 123265.34 24207.72 5698.09
1722445035 1647620985 1313757016 24947811 416455121 329955984 377111580 1695976 101752 101933.78 123265.41 26239.19 5698.03
1722445045 1647622521 1313758550 24947811 416455121 329959867 377111580 1695976 101752 94968.62 123265.45 33204.45 5697.98
1722445055 1647622521 1313758550 24947811 416455121 329960169 377111580 1695976 101752 94758.57 123265.46 33414.53 5697.97
1722445066 1647623289 1313759318 24947811 416455121 329960532 377111678 1695976 101752 94484.91 123167.57 33687.64 5796.50
1722445076 1647624057 1313760086 24947811 416455121 329960795 377111869 1695976 101752 94307.88 122974.25 33864.70 5989.68
1722445086 1647625593 1313761620 24947811 416455121 329961072 377112063 1695976 101752 94114.66 122774.32 34058.36 6189.11
1722445097 1647627129 1313763156 24947811 416455121 329961348 377112259 1695976 101752 93921.95 122573.96 34250.30 6389.48
1722445107 1647629177 1313764338 24947811 416455121 329961679 377112503 1695976 101752 93658.46 122340.20 34514.11 6623.73
1722445118 1647631258 1313764338 24947811 416455121 329962014 377112736 1695976 101752 93398.81 122109.07 34775.05 6854.37
1722445128 1647635875 1313768928 24947811 416455121 329962360 377112845 1695976 101752 93143.29 121983.34 35029.02 6980.09
1722445138 1647635967 1313769018 24947811 416455121 329962599 377113126 1695976 101752 92926.34 121750.37 35246.16 7213.16
1722445149 1647636110 1313769160 24947811 416455121 329962820 377113439 1695976 101752 92697.78 121517.07 35475.01 7446.29
1722445159 1647636170 1313769218 24947811 416455121 329963063 377113756 1695976 101752 92458.69 121263.21 35713.80 7701.13
1722445170 1647636319 1313769364 24947811 416455121 329963315 377114073 1695976 101752 92212.08 121012.57 35960.44 7951.50
1722445180 1647636417 1313769460 24947811 416455121 329963548 377114397 1695976 101752 91985.12 120752.09 36187.86 8211.34
1722445190 1647636593 1313769634 24947811 416455121 329963785 377114722 1695976 101752 91838.13 120408.91 36334.36 8555.53
1722445200 1647636667 1313769708 24947811 416455121 329964018 377115048 1695976 101752 91616.82 120140.15 36555.67 8823.35
