#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1722461430        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461440        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461450        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461461        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722461471        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461481        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461492        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461502        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461513        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461523        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461533        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461544        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461554        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461564        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461575        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461585        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461595        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461606        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461616        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461626        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461636        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461647        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461657        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461667        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722461678        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461688        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461699        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461709        2212.930000       263.182000        50.877100         21.678500         0.000000          138.636000        50.877100        
1722461719        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461730        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722461740        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722461750        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
